,Activity Id,Students Sets,Subject,Teachers,SKS,Color
0,1,CE-01-01,23278 - FEA4054 - TUGAS AKHIR,0,4,1
1,2,TE-01-01,23350 - FEA4054 - TUGAS AKHIR,0,4,5
2,3,TE-02-02,23339 - TEA40A3 - KOMUNIKASI OPTIK,AAF,3,3
3,4,TE-03-01,23206 - FEA2214 - ELEKTRONIKA,AAF,2,6
4,5,TE-03-01,23206 - FEA2214 - ELEKTRONIKA,AAF,2,7
5,6,TE-04-01,23181 - MAA1214 - KALKULUS 2A,AAF,2,4
6,7,TE-04-01,23181 - MAA1214 - KALKULUS 2A,AAF,2,5
7,8,TE-04-02,23181 - MAA1214 - KALKULUS 2A,AAF,2,1
8,9,TE-04-02,23181 - MAA1214 - KALKULUS 2A,AAF,2,2
9,10,IE-03-01,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,2,8
10,11,IE-03-02,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,2,7
11,12,IE-03-03,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,2,3
12,13,CE-04-01,23209 - LAA1022 - BAHASA INGGRIS 2,AFR,2,8
13,14,EE-04-01,23291 - LAA1022 - BAHASA INGGRIS 2,AFR,2,5
14,15,TE-02-01,23184 - LAA1022 - BAHASA INGGRIS 2,AFR,2,1
15,16,TE-02-02,23184 - LAA1022 - BAHASA INGGRIS 2,AFR,2,2
16,17,IS-02-01,23825 - ISA3242 - ETIKA PROFESI TEKNOLOGI INFORMASI,AGS,2,5
17,18,IS-03-01,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AGS,3,7
18,19,IS-03-01,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AGS,3,8
19,20,IE-04-01,23433 - LAA1022 - BAHASA INGGRIS 2,ALD,2,8
20,21,IE-04-02,23433 - LAA1022 - BAHASA INGGRIS 2,ALD,2,3
21,22,IF-01-01,23921 - FIB1052 - BAHASA  INGGRIS,ALD,2,7
22,23,IF-01-02,23921 - FIB1052 - BAHASA  INGGRIS,ALD,2,5
23,24,CE-01-01,23295 - CEA40H3 - KOMPUTASI PARALLEL,ALF,3,2
24,25,CE-01-01,23292 - CEA40F3 - KENDARAAN CERDAS OTOMATIS TERHUBUNG,ALF,3,4
25,26,CE-02-01,23366 - CEA3221 - PRAKTIKUM SISTEM OPERASI,ALF,1,1
26,27,CE-02-01,23364 - CEA3223 - SISTEM OPERASI,ALF,3,3
27,28,CE-02-01,23369 - CEA3243 - KECERDASAN BUATAN,ALF,3,7
28,29,TE-04-01,23188 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,ALF,3,6
29,30,IT-01-01,23855 - ITA40B3 - PENGOLAHAN SINYAL DIGITAL,AMI,3,2
30,31,IT-04-01,23750 - ITA1213 - KOMUNIKASI DATA,AMI,3,1
31,32,IT-04-02,23750 - ITA1213 - KOMUNIKASI DATA,AMI,3,3
32,33,DS-01-01,23876 - DSB1223 - LOGIKA FORMAL,ANA,3,1
33,34,IS-04-03,23795 - MAA1033 - TEORI PROBABILITAS,ANA,3,3
34,35,IS-04-04,23795 - MAA1033 - TEORI PROBABILITAS,ANA,3,2
35,36,IT-02-01,23861 - ITA40H3 - KRIPTOGRAFI,ANA,3,5
36,37,DB-01-01,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,3,2
37,38,DB-01-01,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,3,3
38,39,DB-01-02,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,3,1
39,40,DB-01-02,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,3,4
40,41,IS-03-05,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,ANO,3,5
41,42,IS-03-05,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,ANO,3,6
42,43,CE-01-01,23286 - CEA40C3 - MEKATRONIKA,ARA,3,5
43,44,CE-02-01,23370 - TPA3012 - EKONOMI TEKNIK,ARA,2,2
44,45,CE-03-01,23265 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,3,4
45,46,CE-03-02,23265 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,3,3
46,47,EE-01-01,23426 - EEA40I3 - MEKATRONIKA,ARA,3,6
47,48,TE-03-02,23203 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,3,1
48,49,IF-01-01,23924 - IFB1234 - FISIKA,ARD,3,8
49,50,IF-01-01,23924 - IFB1234 - FISIKA,ARD,3,9
50,51,IF-01-02,23924 - IFB1234 - FISIKA,ARD,3,6
51,52,IF-01-02,23924 - IFB1234 - FISIKA,ARD,3,10
52,53,SE-02-01,23709 - SEA3283 - PEMROGRAMAN MOBILE,ARD,3,2
53,54,IT-03-01,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,ARN,3,5
54,55,IT-03-01,23760 - ITA2273 - KECERDASAN BUATAN,ARN,3,6
55,56,IT-03-02,23760 - ITA2273 - KECERDASAN BUATAN,ARN,3,1
56,57,IT-03-03,23760 - ITA2273 - KECERDASAN BUATAN,ARN,3,2
57,58,IS-01-01,23838 - ISA40F3 - MANAJEMEN RESIKO,ARS,3,4
58,59,IS-02-01,23824 - ISA3233 - MANAJEMEN LAYANAN,ARS,3,3
59,60,IS-02-02,23824 - ISA3233 - MANAJEMEN LAYANAN,ARS,3,5
60,61,IS-03-01,23811 - ISA2233 - REKAYASA PROSES BISNIS,ARS,3,1
61,62,IS-03-02,23811 - ISA2233 - REKAYASA PROSES BISNIS,ARS,3,2
62,63,IE-02-01,23624 - IEA3243 - SIMULASI KOMPUTER,ASA,3,2
63,64,IE-03-01,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,3,6
64,65,IE-03-02,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,3,5
65,66,IE-03-03,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,3,1
66,67,IF-01-01,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,AWS,3,2
67,68,IF-01-01,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,AWS,3,4
68,69,IS-03-04,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AWS,3,1
69,70,IS-03-04,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AWS,3,3
70,71,IT-03-02,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,AWS,3,5
71,72,IT-03-03,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,AWS,3,6
72,73,IT-04-01,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,3,2
73,74,IT-04-01,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,3,5
74,75,IT-04-02,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,3,1
75,76,IT-04-02,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,3,4
76,77,IE-02-01,23619 - IEA3032 - K3 (KESEHATAN DAN KESELAMATAN KERJA) PELABUHAN,BIA,2,7
77,78,IE-02-01,23620 - IEA3052 - PENGANTAR MANAJEMEN PELABUHAN,BIA,2,8
78,79,IE-02-02,23619 - IEA3032 - K3 (KESEHATAN DAN KESELAMATAN KERJA) PELABUHAN,BIA,2,1
79,80,IE-02-02,23624 - IEA3243 - SIMULASI KOMPUTER,BIA,3,2
80,81,IE-04-01,23462 - IEA1212 - MENGGAMBAR TEKNIK,BIA,2,3
81,82,IE-04-01,23464 - IEA1211 - PRAKTIKUM MENGGAMBAR TEKNIK,BIA,1,4
82,83,IE-04-02,23462 - IEA1212 - MENGGAMBAR TEKNIK,BIA,2,5
83,84,IE-04-02,23464 - IEA1211 - PRAKTIKUM MENGGAMBAR TEKNIK,BIA,1,6
84,85,CE-02-01,23372 - CEA3231 - PRAKTIKUM SISTEM BASIS DATA,BLM,1,4
85,86,CE-02-01,23367 - CEA3233 - SISTEM BASIS DATA,BLM,3,5
86,87,CE-04-01,23168 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,BLM,3,6
87,88,CE-04-01,23186 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,1,7
