Activity Id,Students Sets,Subject,Teachers,Activity Tags,Room,SKS
1,CE-01-01,23278 - FEA4054 - TUGAS AKHIR,0,FTEIC+01,KTT1.12,4
2,TE-01-01,23350 - FEA4054 - TUGAS AKHIR,0,FTIB+01,KTT2.7,4
3,TE-02-02,23339 - TEA40A3 - KOMUNIKASI OPTIK,AAF,FTEIC+02,KTT2.10,3
4,TE-03-01,23206 - FEA2214 - ELEKTRONIKA,AAF,FTEIC+03,KTT2.13,2
5,TE-03-01,23206 - FEA2214 - ELEKTRONIKA,AAF,FTEIC+03,KTT2.5,2
6,TE-04-01,23181 - MAA1214 - KALKULUS 2A,AAF,FTEIC+04,KTT1.9,2
7,TE-04-01,23181 - MAA1214 - KALKULUS 2A,AAF,FTEIC+04,KTT1.8,2
8,TE-04-02,23181 - MAA1214 - KALKULUS 2A,AAF,FTEIC+04,KTT2.9,2
9,TE-04-02,23181 - MAA1214 - KALKULUS 2A,AAF,FTEIC+04,KTT1.13,2
10,IE-03-01,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,FTEIC+03,KTT1.10,2
11,IE-03-02,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,FTEIC+03,KTT1.10,2
12,IE-03-03,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,FTEIC+03,KTT2.1,2
13,CE-04-01,23209 - LAA1022 - BAHASA INGGRIS 2,AFR,ONLINE+03,ONLINE3,2
14,EE-04-01,23291 - LAA1022 - BAHASA INGGRIS 2,AFR,ONLINE+04,ONLINE1,2
15,TE-02-01,23184 - LAA1022 - BAHASA INGGRIS 2,AFR,ONLINE+02,ONLINE4,2
16,TE-02-02,23184 - LAA1022 - BAHASA INGGRIS 2,AFR,ONLINE+02,ONLINE6,2
17,IS-02-01,23825 - ISA3242 - ETIKA PROFESI TEKNOLOGI INFORMASI,AGS,FTIB+02,KTT2.12,2
18,IS-03-01,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AGS,FTIB+03,KTT1.10,3
19,IS-03-01,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AGS,LAB.FTIB.PROG+03,LAB.FTIB.PROG2,3
20,IE-04-01,23433 - LAA1022 - BAHASA INGGRIS 2,ALD,ONLINE+04,ONLINE1,2
21,IE-04-02,23433 - LAA1022 - BAHASA INGGRIS 2,ALD,ONLINE+04,ONLINE1,2
22,IF-01-01,23921 - FIB1052 - BAHASA  INGGRIS,ALD,ONLINE+01,ONLINE3,2
23,IF-01-02,23921 - FIB1052 - BAHASA  INGGRIS,ALD,ONLINE+01,ONLINE3,2
24,CE-01-01,23295 - CEA40H3 - KOMPUTASI PARALLEL,ALF,FTEIC+01,KTT2.12,3
25,CE-01-01,23292 - CEA40F3 - KENDARAAN CERDAS OTOMATIS TERHUBUNG,ALF,FTEIC+01,KTT1.3,3
26,CE-02-01,23366 - CEA3221 - PRAKTIKUM SISTEM OPERASI,ALF,LAB.FTEIC.PROG+02,LAB.FTEIC.PROG,1
27,CE-02-01,23364 - CEA3223 - SISTEM OPERASI,ALF,FTEIC+02,KTT1.11,3
28,CE-02-01,23369 - CEA3243 - KECERDASAN BUATAN,ALF,FTEIC+02,KTT1.7,3
29,TE-04-01,23188 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,ALF,FTEIC+04,KTT2.3,3
30,IT-01-01,23855 - ITA40B3 - PENGOLAHAN SINYAL DIGITAL,AMI,FTIB+01,KTT1.7,3
31,IT-04-01,23750 - ITA1213 - KOMUNIKASI DATA,AMI,FTIB+04,KTT1.7,3
32,IT-04-02,23750 - ITA1213 - KOMUNIKASI DATA,AMI,FTIB+04,KTT2.10,3
33,DS-01-01,23876 - DSB1223 - LOGIKA FORMAL,ANA,FTIB+01,KTT1.12,3
34,IS-04-03,23795 - MAA1033 - TEORI PROBABILITAS,ANA,FTIB+04,KTT1.14,3
35,IS-04-04,23795 - MAA1033 - TEORI PROBABILITAS,ANA,FTIB+04,KTT1.3,3
36,IT-02-01,23861 - ITA40H3 - KRIPTOGRAFI,ANA,FTIB+02,KTT1.4,3
37,DB-01-01,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB.FTIB.PROG+01,LAB.FTIB.PROG2,3
38,DB-01-01,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB.FTIB.PROG+01,LAB.FTIB.PROG,3
39,DB-01-02,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB.FTIB.PROG+01,LAB.FTIB.PROG,3
40,DB-01-02,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB.FTIB.PROG,LAB.FTIB.PROG,3
41,IS-03-05,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,ANO,FTIB+03,KTT1.5,3
42,IS-03-05,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,ANO,LAB.JARINGAN+03,LAB.JARINGAN,3
43,CE-01-01,23286 - CEA40C3 - MEKATRONIKA,ARA,FTEIC+01,KTT2.12,3
44,CE-02-01,23370 - TPA3012 - EKONOMI TEKNIK,ARA,FTEIC+02,KTT2.13,2
45,CE-03-01,23265 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,FTEIC+03,KTT1.8,3
46,CE-03-02,23265 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,FTEIC,KTT2.6,3
47,EE-01-01,23426 - EEA40I3 - MEKATRONIKA,ARA,FTEIC,KTT1.1,3
48,TE-03-02,23203 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,FTEIC,KTT1.2,3
49,IF-01-01,23924 - IFB1234 - FISIKA,ARD,FTIB,KTT2.9,3
50,IF-01-01,23924 - IFB1234 - FISIKA,ARD,LAB.FISDAS,LAB.FISDAS,3
51,IF-01-02,23924 - IFB1234 - FISIKA,ARD,FTIB,KTT1.13,3
52,IF-01-02,23924 - IFB1234 - FISIKA,ARD,LAB.FISDAS,LAB.FISDAS,3
53,SE-02-01,23709 - SEA3283 - PEMROGRAMAN MOBILE,ARD,LAB.MACHINE.LEARNING,LAB.MACHINE.LEARNING,3
54,IT-03-01,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,ARN,FTIB,KTT1.14,3
55,IT-03-01,23760 - ITA2273 - KECERDASAN BUATAN,ARN,FTIB,KTT1.9,3
56,IT-03-02,23760 - ITA2273 - KECERDASAN BUATAN,ARN,FTIB,KTT1.11,3
57,IT-03-03,23760 - ITA2273 - KECERDASAN BUATAN,ARN,FTIB,KTT1.1,3
58,IS-01-01,23838 - ISA40F3 - MANAJEMEN RESIKO,ARS,FTIB,KTT2.8,3
59,IS-02-01,23824 - ISA3233 - MANAJEMEN LAYANAN,ARS,FTIB,KTT2.5,3
60,IS-02-02,23824 - ISA3233 - MANAJEMEN LAYANAN,ARS,FTIB,KTT2.1,3
61,IS-03-01,23811 - ISA2233 - REKAYASA PROSES BISNIS,ARS,FTIB,KTT1.6,3
62,IS-03-02,23811 - ISA2233 - REKAYASA PROSES BISNIS,ARS,FTIB,KTT2.1,3
63,IE-02-01,23624 - IEA3243 - SIMULASI KOMPUTER,ASA,FTEIC,KTT1.14,3
64,IE-03-01,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,FTEIC,KTT2.5,3
65,IE-03-02,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,FTEIC,KTT2.7,3
66,IE-03-03,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,FTEIC,KTT1.9,3
67,IF-01-01,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,AWS,FTIB,KTT2.14,3
68,IF-01-01,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,AWS,LAB.MACHINE.LEARNING,LAB.MACHINE.LEARNING,3
69,IS-03-04,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AWS,FTIB,KTT1.14,3
70,IS-03-04,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AWS,LAB.FTIB.PROG,LAB.FTIB.PROG,3
71,IT-03-02,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,AWS,FTIB,KTT1.4,3
72,IT-03-03,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,AWS,FTIB,KTT2.11,3
73,IT-04-01,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,FTIB,KTT1.10,3
74,IT-04-01,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,LAB.FTIB.PROG,LAB.FTIB.PROG2,3
75,IT-04-02,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,FTIB,KTT2.3,3
76,IT-04-02,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,LAB.FTIB.PROG,LAB.FTIB.PROG,3
77,IE-02-01,23619 - IEA3032 - K3 (KESEHATAN DAN KESELAMATAN KERJA) PELABUHAN,BIA,FTEIC,KTT2.13,2
78,IE-02-01,23620 - IEA3052 - PENGANTAR MANAJEMEN PELABUHAN,BIA,FTEIC,KTT1.8,2
79,IE-02-02,23619 - IEA3032 - K3 (KESEHATAN DAN KESELAMATAN KERJA) PELABUHAN,BIA,FTEIC,KTT2.14,2
80,IE-02-02,23624 - IEA3243 - SIMULASI KOMPUTER,BIA,FTEIC,KTT2.5,3
81,IE-04-01,23462 - IEA1212 - MENGGAMBAR TEKNIK,BIA,FTEIC,KTT1.11,2
82,IE-04-01,23464 - IEA1211 - PRAKTIKUM MENGGAMBAR TEKNIK,BIA,LAB.FTEIC.PROG,LAB.FTEIC.PROG,1
83,IE-04-02,23462 - IEA1212 - MENGGAMBAR TEKNIK,BIA,FTEIC,KTT1.12,2
84,IE-04-02,23464 - IEA1211 - PRAKTIKUM MENGGAMBAR TEKNIK,BIA,LAB.FTEIC.PROG,LAB.FTEIC.PROG,1
85,CE-02-01,23372 - CEA3231 - PRAKTIKUM SISTEM BASIS DATA,BLM,LAB.FTEIC.PROG,LAB.FTEIC.PROG,1
86,CE-02-01,23367 - CEA3233 - SISTEM BASIS DATA,BLM,FTEIC,KTT2.10,3
87,CE-04-01,23168 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,BLM,FTEIC,KTT1.10,3
