,Activity Id,Students Sets,Subject,Teachers,Room,SKS,Schedules
229,230,IS-04-03,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,MNP,LAB,3,Schedule 1
219,220,IF-01-01,23923 - IFB1223 - KALKULUS 2,MDF,KELAS,3,Schedule 1
94,95,IS-03-05,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,DAU,KELAS,3,Schedule 1
329,330,DB-01-01,23984 - FIB1063 - BAHASA INGGRIS 2,RZK,KELAS,2,Schedule 1
25,26,CE-02-01,23366 - CEA3221 - PRAKTIKUM SISTEM OPERASI,ALF,LAB,1,Schedule 1
201,202,IF-01-02,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,KMD,KELAS,3,Schedule 1
88,89,EE-04-01,23308 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,LAB,1,Schedule 1
207,208,IS-03-02,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,LIA,KELAS,3,Schedule 1
136,137,TE-03-01,23210 - FEA2223 - ELEKTROMAGNETIKA,FSA,KELAS,3,Schedule 1
215,216,IS-04-01,23798 - LAA1032 - BAHASA INDONESIA,LSH,KELAS,2,Schedule 1
317,318,CE-03-01,23257 - FEA2021 - PRAKTIKUM PENGOLAHAN SINYAL DIGITAL,RMU,LAB,1,Schedule 1
32,33,DS-01-01,23876 - DSB1223 - LOGIKA FORMAL,ANA,KELAS,3,Schedule 1
73,74,IT-04-01,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,LAB,3,Schedule 1
154,155,TE-02-02,23316 - TEA3233 - SISTEM KOMUNIKASI SELULER,HAM,KELAS,3,Schedule 1
78,79,IE-02-02,23619 - IEA3032 - K3 (KESEHATAN DAN KESELAMATAN KERJA) PELABUHAN,BIA,KELAS,2,Schedule 1
268,269,TE-04-01,23183 - SCA1211 - PRAKTIKUM FISIKA 2,ONI,LAB,1,Schedule 1
38,39,DB-01-02,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB,3,Schedule 1
198,199,EE-03-01,23334 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,KHL,KELAS,3,Schedule 1
158,159,IE-04-01,23439 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,KELAS,3,Schedule 1
310,311,IS-04-04,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,RGT,LAB,3,Schedule 1
68,69,IS-03-04,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AWS,KELAS,3,Schedule 1
47,48,TE-03-02,23203 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,KELAS,3,Schedule 1
292,293,IE-03-01,23581 - IEA2222 - ANALISA DAN PERANCANGAN KERJA,RDP,KELAS,2,Schedule 1
60,61,IS-03-01,23811 - ISA2233 - REKAYASA PROSES BISNIS,ARS,KELAS,3,Schedule 1
383,384,CE-03-02,23243 - CEA2213 - PEMROGRAMAN BERORIENTASI OBJEK,UBM,KELAS,3,Schedule 1
186,187,CE-04-01,23192 - MAA1214 - KALKULUS 2A,KHG,KELAS,2,Schedule 1
234,235,SE-04-01,23681 - MAA1013 - MATRIK DAN VEKTOR,MSK,KELAS,3,Schedule 1
353,354,EE-02-01,23400 - EEA30D3 - PERANCANGAN SISTEM BERBASIS FPGA,SSJ,KELAS,3,Schedule 1
7,8,TE-04-02,23181 - MAA1214 - KALKULUS 2A,AAF,KELAS,2,Schedule 1
306,307,IT-02-02,23772 - ITA3253 - PEMROGRAMAN INTEGRATIF,RFM,KELAS,3,Schedule 1
272,273,SE-02-01,23725 - SEA3033 - PENJAMINAN DAN KEAMANAN INFORMASI,PNG,KELAS,3,Schedule 1
65,66,IE-03-03,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,KELAS,3,Schedule 1
239,240,IS-03-03,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NAS,KELAS,3,Schedule 1
246,247,IE-03-02,23582 - IEA2232 - PROSES MANUFAKTUR,NNR,KELAS,2,Schedule 1
141,142,IT-02-01,23769 - ITA3213 - PEMROGRAMAN MOBILE,FZN,KELAS,3,Schedule 1
405,406,IS-04-02,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,YPS,LAB,3,Schedule 1
341,342,IE-02-01,23625 - IEA3041 - PRAKTIKUM ORGANISASI DAN KELAYAKAN PERUSAHAAN,SIL,LAB,1,Schedule 1
112,113,IE-04-02,23454 - IEA1022 - PENGANTAR ILMU EKONOMI,DMI,KELAS,2,Schedule 1
142,143,IT-02-02,23769 - ITA3213 - PEMROGRAMAN MOBILE,FZN,KELAS,3,Schedule 2
276,277,SE-04-01,23684 - FIA1214 - ALGORITMA DAN STRUKTUR DATA,PNG,KELAS,3,Schedule 2
